Prefix|Country|Amateur|CQ-zone|ITU-zone
1|Italy|"I, IK"|15|33
2|USA|W-K|03-05|06-08
3|Brazil|PY|11|12-15
4|Argentina|LU|13|14
5|Venezuela|YV|09|12
6|Colombia|HK|09|12
7|Netherlands Antilles|PJ|09|11
8|Peru|OA|10|12
9|Canada|VE|01-05|02-09
10|Mexico|XE|06|10
11|Puerto Rico|KP4|08|11
12|Uruguay|CX|13|14
13|Germany|"DL, DJ"|14|28
14|France|F|14|27
15|Switzerland|"HB, HE"|14|28
16|Belgium|ON|14|27
17|Hawaii|KH6|31|61
18|Greece|SV|20|28
19|Netherlands|PA|14|27
20|Norway|LA|14|18
21|Sweden|SM|14|18
22|French Guyana|FY|09|12
23|Jamaica|6Y|08|11
24|Panama|HP|07|11
25|Japan|JA|25|45
26|England|G|14|27
27|Iceland|TF|40|17
28|Honduras|HR|07|11
29|Ireland|EI|14|27
30|Spain|EA|14|37
31|Portugal|CT|14|37
32|Chile|CE|12|14
33|Alaska|KL7|01|01-02
34|Canary Isl.|EA8|33|36
35|Austria|OE|15|28
36|San Marino|T7-9A1|15|28
37|Dominican Republic|HI|08|11
38|Greenland|OX|40|05
39|Angola|D2|35|52
40|Liechtenstein|HB0|14|28
41|New Zealand|ZL|32|60
42|Liberia|EL|35|46
43|Australia|VK|29-30|55-58-59
44|South Africa|ZS|38|57
45|Serbia|YU|15|28
46|East Germany|Y2|14|28
47|Denmark|OZ|14|18
48|Saudi Arabia|HZ|20|39
49|Balearic Isl.|EA6|14|37
50|Europian Russia|UA1-6|16|19-29-30
51|Andorra|C3|14|27
52|Faroer Isl.|OY|14|18
53|El Salvador|YS|7|11
54|Luxembourg|LX|14|27
55|Gibraltar|ZB|14|37
56|Finland|OH|15|18
57|India|VU|22|41
58|East Malaysia|"9M6, 9M8"|28|54
59|Dodecanese Isl.|SV9|20|28
60|Hong Kong|VS6|24|44
61|Ecuador|HC|10|12
62|Guam Isl|KH2|27|64
63|St. Helena Isl.|ZD7|36|66
64|Senegal|6W|35|46
65|Sierra Leone|9L|35|46
66|Mauritania|5T|35|46
67|Paraguay|ZP|11|14
68|Northern Ireland|GI|14|27
69|Costa Rica|TI|07|11
70|American Samoa Isl.|KH8|32|62
71|Midway Isl.|KH4|31|61
72|Guatemala|TG|07|11
73|Suriname|PZ|09|12
74|Namibia|ZS3|38|57
75|Azores Isl.|CT2|14|36
76|Morocco|CN|33|37
77|Ghana|9G|35|46
78|Zambia|9J|36|53
79|Philippines.|DU|27|50
80|Bolivia|CP|10|12-14
81|San Andres & Providencia|HK0|07|11
82|Guantanamo Bay|KG4|8|11
83|Tanzania|5H|37|53
84|Ivory Coast|TU|35|46
85|Zimbabwe|Z2|38|53
86|Nepal|9N|22|32
87|Yemen|4W|21|39
88|Cuba|CO|08|11
89|Nigeria|5N|35|46
90|Crete Isl.|SV5|20|28
91|Indonesia|YB|28|51
92|Libya|5A|34|38
93|Malta|9H|15|28
94|United Arab Emirates|A6|21|39
95|Mongolia|JT|23|32
96|Tonga Isl.|A3|32|62
97|Israil|"4X, 4Z"|20|39
98|Singapore|9V|28|54
99|Fiji Isl.|3D2|32|56
100|South  Korea|HL|25|44
101|Papua New Guinea|P2|28|51
102|Kuwait|9K|21|39
103|Haiti|HH|08|11
104|Corsica|TK|15|28
105|Botswana|A2|38|57
106|Ceuta & Melilla|EA9|33|37
107|Monaco|3A|14|27
108|Scotland|GM|14|27
109|Hungary|HA|15|28
110|Cyprus|5B|20|39
111|Jordan|JY|20|39
112|Lebanon|OD|20|39
113|West Malaysia|9M2|28|54
114|Pakistan|AP|21|41
115|Qatar|A7|21|39
116|Turkey|TA|20|39
117|Egypt|SU|34|38
118|The Gambia|C5|35|46
119|Madeira Isl.|CT3|33|36
120|Antigua & Barbuda Isl.|V2|8|11
121|The Bahamas|C6|08|11
122|Barbados Isl.|8P|08|11
123|Bermuda Isl.|VP9|05|11
124|Amsterdam & St. Paul Isl.|FB8Z|39|68
125|Cayman Isl.|ZF|08|11
126|Nicaragua|YN|07|11
127|Virgin Isl.|"KV4, KP2"|08|11
128|British Virgin Isl.|VP2V|08|11
129|Macquarie Isl.|VKO|30|60
130|Norfolk Isl.|VK9N|32|60
131|Guyana|8R|09|12
132|Marshall Isl.|KX6|30|65
133|Marianas Isl.|KHO|27|64
134|West Caroline Isl. Belau|V63|27|64
135|Solomon Isl.|H4|28|51
136|Martinique Isl.|FM|08|11
137|Isle of Man|GD|14|27
138|Vatican|HV|15|28
139|Southern Yemen|7O|21|39
140|Antarctica|FB8Y|39|67
141|St. Pierre & Miquelon|FP|05|09
142|Lesotho|7P|38|57
143|St. Lucia Isl.|J6|08|11
144|Easter Isl.|CE0A|12|63
145|Galapagos Isl.|HC8|10|12
146|Algeria|7X|33|37
147|Tunisia|3V|33|37
148|Ascension Isl.|ZD8|36|66
149|Laccadive Isl.|VU7|22|41
150|Bahrein|A9|21|39
151|Iraq|YI|22|39
152|Maldives|8Q|22|41
153|Thailand|HS|26|49
154|Iran|EP|21|40
155|Taiwan|BV|24|44
156|Cameroon|TJ|36|47
157|Montserrat Isl.|VP2M|08|11
158|Trinidad & Tobago|9Y|09|11
159|Somalia|T5-6O|37|48
160|Sudan|6T|34|48
161|Poland|SP|15|28
162|Zaire|9Q|36|52
163|Wales|GW|14|27
164|Togo|5V|35|46
165|Sardinia|IS0|15|28
166|St. Maarten|PJ7-8|08|11
167|Jersey|GJ|14|27
168|Mauritius|3B8|39|53
169|Guernsey & Dep.|GU|14|27
170|Burkina Faso|ZT|35|46
171|Svalbard Isl.|JW|40|18
172|New Caledonia|FK|32|56
173|Reunion|FR|39|53
174|Uganda|5X|37|48
175|Chad|TT|36|47
176|Central African Republic|TL|36|47
177|Sri Lanka|4S|22|41
178|Bulgaria|LZ|20|28
179|Czechoslovakia|OK|15|28
180|Oman|A4|21|39
181|Syria|YK|20|39
182|Guinea|3X|35|46
183|Benin|TY|35|46
184|Burundi|9U|36|52
185|Comoros Isl.|D6|39|53
186|Djibouti|J2|37|48
187|Kenya|5Z|37|48
188|Malagasy Republic|5R|39|53
189|Mayotte Isl.|FH|39|53
190|Seychelles|S7|39|53
191|Swaziland|3D6|38|57
192|Cocos Isl.|TI9|07|12
193|Cocos Keeling Isl.|VK9Y|29|54
194|Dominica Isl.|J7|08|11
195|Grenada|J3|08|11
196|Guadeloupe|FG|08|11
197|Vanuatu|YJ|32|56
198|Falkland Isl.|VP8|13|16
199|Equatorial Guinea|3C|36|47
200|South Shetland Isl.|VP8|13|73
201|French Polynesia|FO|32|63
202|Bhutan|A5|22|41
203|China|BY|23|44
204|Mozambique|C9|37|53
205|Cape Verde|D4|35|46
206|Ethiopia|ET|37|48
207|St. Martin Isl.|FS|08|11
208|Glorioso Isl.|FR/G|39|53
209|Juan de Nova|FR/J|39|53
210|Wallis & Futuna Isl.|FW|32|62
211|Jan Mayen Isl.|JX|40|18
212|Aland Isl.|OH0|15|18
213|Market Reef|OJ0|15|18
214|Congo|TN|36|52
215|Gabon|TR|36|52
216|Mali|TZ|35|46
217|Christmas Isl.|VK9X|29|54
218|Belize|V3|07|11
219|Anguilla|VP2E|08|11
220|St. Vincent|J8|08|11
221|South Orkney Isl.|VP8|13|73
222|South Sandwich Isl.|PV8|13|73
223|Western Samoa Isl.|5W|32|62
224|Western Kiribati|T30|31|65
225|Brunei|V8|28|54
226|Malawi|7Q|37|53
227|Rwanda|9X|36|52
228|Chagos Isl.|VQ9|39|41
229|Heard Isl.|VK0|39|68
230|Micronesia|KC6|27|65
231|St. Peter & St. Paul RKS|PY0|11|13
232|Aruba Isl.|P4|09|11
233|Romania|YO|20|28
234|Afghanistan|YA|22|40
235|I.T.U. Geneva|4U|14|28
236|Bangladesh|S2|22|41
237|Myanmar|XZ|24|49
238|Cambodia|XU|26|49
239|Laos|XW|26|49
240|Macao|XX9|24|44
241|Spratly Isl.|1S|26|50
242|Vietnam|XV|26|49
243|Agalega & St. Brandon|3B6|39|53
244|Pagalu Isl.|3C0|36|52
245|Niger|5U|35|46
246|Sao Tome & Principe|S9|36|47
247|Navassa Isl.|KP1|08|11
248|Turks & Caicos Isl.|VP5|8|11
249|Nothern Cook Isl.|ZK1|32|62
250|Cook Isl.|ZK1|32|63
251|Albania|ZA|15|28
252|Revilaagigedo Isl.|XF|06|10
253|Andaman & Nicobar Isl.|VU4|26|49254|Mount Athos|SY|20|28
255|Kerguelen Isl.|FB8X|13|68
256|Marion & Pr. Edward| Isl.ZS8|38|57
257|Rodrigues Isl.|3B9|39|53
258|Tristan Da Cunha & Gough Isl.|ZD9|38|66
259|Tromelin Isl.|FR/T|39|53
260"Baker & Howland Isl.|KH1|31|61
261|Chatham Isl.|ZL/7|32|60
262|Johnston Isl.|KH3|31|61
263|Kermadec Isl.|ZL/K8|32|60
264|Kingman Reef|KH5K|31|61
265|Central Kiribati|T31|31|62
266|Eastern Kiribati|T32|31|6163
267|Kure Isl.|KH7|31|61
268|Lord Howe Isl.|VK9|30|60
269|Mellish Reef|VK9|30|56
270|Minami Torishima|JD|27|64
271|Nauru|C2|31|65
272|NiUE|ZK2|32|62
273|Palmyra & Jarvis Isl.|KH5|31|61-62
274|Pitcairn Isl.|VR6|32|63
275|Tokelau Isl.|ZK3|31|62
276|Tuvalu|T2|31|65
277|Sable Isl.|VE1|05|09
278|Wake Isl.|KH9|31|65
279|Willis Isl.|VK9Z|30|55
280|Aves Isl.|HV0|09|11
281|Ogasawara|JD|27|45
282|Auckland & Campbell Isl.|ZL/9|32|60
283|St. Kits & Nevis|V4|08|11
284|St. Paul Isl.|VE1|05|09
285|Fernando de Noronha|PY0|11|13
286|Juan Fernandez Isl.|CEOZ|12|14
287|Malpelo Isl.|HK0|10|12
288|San Felix & San Ambrosio|CE0X|12|14
289|South Georgia Isl.|VP8|13|73
290|Trindade & Martim Vaz Isl.|PY0|11|15
291|Dhekelia & Akrotiri|ZC4|20|39
292|Abu-Ail & Jabal-At-Tair|A1|21|39
293|Guinea Bissau|J5|35|46
294|Peter 1st Isl.|3Y|12|72
295|Southern Sudan|ST0|34|48
296|Clipperton Isl.|FO|07|10
297|Bouvet Isl.|3Y|38|67
298|Crozet|FT5W|39|68
299|Desecheo Isl.|KP5|08|11
300|West SAHARA-Rio De Oro|S0|33|46
301|Armenia|UG|21|29
302|Asiatic Russia|UA9-UA0|16-19|21-27-30-33
303|Azerbaijan|UD|21|29
304|Estonia|ES|15|29
305|Franz Josef Land|UA1|40|75
306|Georgia|UF|21|29
307|Kaliningrad|UA2|16|29
308|Kazakhstan|17|29-31
309|Kyrgystan|UM|17|30-31
310|Latvia|YL|15|29
311|Lithuania|UP|15|29
312|Moldova|ER|16|29
313|Tadzhikistan|UJ|17|30
314|Turkmenistan|UH|17|30
315|Ukraine|UR|16|29
316|Uzbekistan|UI|17|30
317|Belarus|EV -EW|16|29
318|Sov. Mil. Order of Malta|1A|15|28
319|United Nations New York|4U|05|08
320|Banaba Isl.|T33|31|65
321|Conway Reef|3D2|32|56
322|Walvis Bay|ZS9-1|38|57
323|Yemen|7O|21|39
324|Penguin Isl.|ZS9/0|30|57
325|Rotuma Isl.|3D2|32|56
326|Maly Vysotsky Isl.|4J|16|29
327|Slovenia|S5|15|28
328|Croatia|9A|15|28
329|Czech Republic|OK|15|28
330|Slovak Republic|OM|15|28
331|Bosnia|4N4|15|28
332|Macedonia|4N5|15|28
333|Eritrea|E3|15|48
334|North Korea|P5|37|14
