Prefix|Country|CQ-zone|ITU-zone
1A|Sov. Mil. Order of Malta|15|28
1B|Northern Cyprus|20|39
1M|Minerva Reef|32|62
1S|Spratly Isl.|26|50
2A|England|14|27
2B|England|14|27
2C|England|14|27
2D|Isle of Man|27|14
2E|England|14|27
2F|England|14|27
2G|England|14|27
2H|England|14|27
2I|Northern Ireland|14|27
2K|England|14|27
2L|England|14|27
2M|Scotland|14|27
2N|England|14|27
2O|England|14|27
2P|England|14|27
2Q|England|14|27
2R|England|14|27
2S|England|14|27
2T|England|14|27
2U|Guernsey|14|27
2V|England|14|27
2X|England|14|27
2Y|England|14|27
2Z|England|14|27
3A|Monaco|14|27
3B|Mauritius|39|53
3B6|Agalega & St. Brandon|39|53
3B7|Agalega & St. Brandon|39|53
3B8|Mauritius|39|53
3B9|Rodrigues Isl.|39|53
3C|Equatorial Guinea|36|47
3C0|Annobon Isl.|36|52
3D2|Fiji Isl.|32|56
3D2C|Conway Reef|32|56
3D2R|Rotuma Isl.|32|56
3DA0|Swaziland|38|57
3DA|Swaziland|38|57
3DB|Swaziland|38|57
3DC|Swaziland|38|57
3DD|Swaziland|38|57
3DE|Swaziland|38|57
3DF|Swaziland|38|57
3DG|Swaziland|38|57
3DH|Swaziland|38|57
3DI|Swaziland|38|57
3DJ|Swaziland|38|57
3DK|Swaziland|38|57
3DL|Swaziland|38|57
3DM|Swaziland|38|57
3E|Panama|07|11
3F|Panama|07|11
3G|Chile|12|14
3H|China|24|33
3I|China|24|33
3J|China|24|33
3K|China|24|33
3L|China|24|33
3M|China|24|33
3N|China|24|33
3O|China|24|33
3P|China|24|33
3Q|China|24|33
3R|China|24|33
3S|China|24|33
3T|China|24|33
3U|China|24|33
3V|Tunisia|33|37
3W|Vietnam|26|49
3X|Guinea|35|46
3Y5|Bouvet|38|67
3Y0|Peter 1 Isl.|12|72
3Z|Poland|15|28
4A|Mexico|06|10
4B|Mexico|06|10
4C|Mexico|06|10
4D|Philippines|27|50
4E|Philippines|27|50
4F|Philippines|27|50
4G|Philippines|27|50
4H|Philippines|27|50
4I|Philippines|27|50
4J|Azerbaidjan|21|29
4G1|Maly Vysotsky Isl.|16|29
4K|Azerbaidjan|21|29
4K1|South Shetland Isl.|13|73
4L|Georgia|21|29
4M|Venezuela|09|12
4N|Serbia|15|28
4N5|Macedonia|15|28
4O|Montenegro|15|28
4P|Srilanka|22|41
4q|Srilanka|22|41
4R|Srilanka|22|41
4S|Srilanka|22|41
4P|Peru|10|12
4U|ITU Geneva|14|28
4U1ITU|ITU Geneva|14|28
4U1UN|United Nations|05|08
4V|Haiti|8|11
4W|Timor Leste|28|54
4X|Israel|20|39
4X1|Israel|20|39
4Z|Israel|20|39
5A|Libya|34|38
5B|Cyprus|20|39
5C|Morocco|33|37
5D|Morocco|33|37
5E|Morocco|33|37
5F|Morocco|33|37
5G|Morocco|33|37
5H|Tanzania|37|53
5H1|Zanzibar|37|53
5I|Tanzania|37|53
5j|Colombia|09|12
5K|Colombia|09|12
5L|Liberia|35|46
5M|Liberia|35|46
5N|Nigeria|35|46
5O|Nigeria|35|46
5R|Madagascar|39|53
5S|Madagascar|39|53
5T|Mauritania|35|46
5U|Niger|35|46
5V|Togo|35|46
5W|Samoa|32|62
5X|Uganda|37|48
5Y|Kenya|37|48
5Z|Kenya|37|48
6A|Egypt|34|38
6B|Egypt|34|38
6C|Syria|20|39
6D|Mexico|6|10
6E|Mexico|6|10
6F|Mexico|6|10
6G|Mexico|6|10
6H|Mexico|6|10
6I|Mexico|6|10
6J|Mexico|6|10
6K|South Korea|25|44
6L|South Korea|25|44
6M|South Korea|25|44
6N|South Korea|25|44
6O|Somalia|37|48
6P|Pakistan|21|41
6Q|Pakistan|21|41
6R|Pakistan|21|41
6S|Pakistan|21|41
6T|Sudan|34|48
6U|Sudan|34|48
6V|Senegal|35|46
6W|Senegal|35|46
6X|Madagascar|39|53
6Y|Jamaica|08|11
6Z|Liberia|35|46
7A|Indonesia|28|51
7B|Indonesia|28|51
7C|Indonesia|28|51
7D|Indonesia|28|51
7E|Indonesia|28|51
7F|Indonesia|28|51
7G|Indonesia|28|51
7H|Indonesia|28|51
7I|Indonesia|28|51
7J|Japan|25|45
7J1|Okino Tori-shima|27|45
7K|Japan|25|45
7L|Japan|25|45
7M|Japan|25|45
7N|Japan|25|45
7O|Yemen|21|39
7P|Lesotho|37|53
7Q|Malawi|37|53
7T|Algeria|33|37 
7U|Algeria|33|37 
7V|Algeria|33|37 
7W|Algeria|33|37 
7X|Algeria|33|37 
7Y|Algeria|33|37
7Z|Saudi Arabia|21|39
8A|Indonesia|28|51
8B|Indonesia|28|51
8C|Indonesia|28|51
8D|Indonesia|28|51
8E|Indonesia|28|51
8F|Indonesia|28|51
8G|Indonesia|28|51
8H|Indonesia|28|51
8I|Indonesia|28|51
8J|Japan|25|45
8K|Japan|25|45
8L|Japan|25|45
8M|Japan|25|45
8N|Japan|25|45
8O|Botswana|38|57
8P|Barbados|08|11
8Q|Maldives|22|41
8R|Guyana|09|12
8T|India|22|41
8U|India|22|41
8V|India|22|41
8W|India|22|41
8X|India|22|41
8Y|India|22|41
8Z|Saudi Arabia|21|39
8Z4|Saudi Arabia/iraq Neut. Zone|21|39
8Z5|Saudi/kuwait N.z.|21|39
9A|Croatia|15|28
9B|Iran|21|40
9C|Iran|21|40
9D|Iran|21|40
9E|Ethiopia|37|48
9F|Ethiopia|37|48
9G|Ghana|35|46
9H|Malta|15|28
9I|Zambia|36|53
9J|Zambia|36|53
9K|Kuwait|21|39
9K3|Saudi/kuwait N.z.|21|39
9L|Sierra Leone|35|46
9M|West Malaysia|28|54
9M0|Spratly Isl.|26|50
9M2|West Malaysia|28|54
9M4|West Malaysia|28|54
9M6|East Malaysia|28|54
9M8|East Malaysia|28|54
9N|Nepal|22|42
9O|Congo|36|52
9P|Congo|36|52
9Q|Congo|36|52
9R|Congo|36|52
9S|Congo|36|52
9S4|Saar|14|28
9T|Congo|36|52
9U|Burundi|36|52
9U5|Ruanda-urundi|36|52
9V|Singapore|28|54
9W|West Malaysia|28|54
9X|Rwanda|36|52
